,First of Month,Days Produced,Well Status,Operator Name,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code,data_source
0,2002-12-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-09456
1,2002-11-01,30,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-09456
2,2002-10-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,,,,,,,,,,,,,,,,,,,05-123-09456
3,2002-09-01,30,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,,,,,,,,,,,,,,,8.0,,,M,05-123-09456
4,2002-08-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,2.0,,,M,05-123-09456
5,2002-07-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,,,,,,,,,,,,,,,2.0,,,M,05-123-09456
6,2002-06-01,30,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,8.0,,,M,05-123-09456
7,2002-05-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,12.0,,,M,05-123-09456
8,2002-04-01,30,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,12.0,,,M,05-123-09456
9,2002-03-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,2.0,,,M,05-123-09456
10,2002-02-01,28,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,5.0,,,M,05-123-09456
11,2002-01-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,5.0,,,M,05-123-09456
12,2001-12-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,,,,,05-123-09456
13,2001-11-01,30,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,,,,,05-123-09456
14,2001-10-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,,,,,05-123-09456
15,2001-09-01,30,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,,,,,05-123-09456
16,2001-08-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,,,,,05-123-09456
17,2001-07-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,,,,,05-123-09456
18,2001-06-01,30,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,,,,,05-123-09456
19,2001-05-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,,,,,05-123-09456
20,2001-04-01,30,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,,,,,05-123-09456
21,2001-03-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,,,,,05-123-09456
22,2001-02-01,28,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,,,,,05-123-09456
23,2001-01-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,,,,,05-123-09456
24,2000-12-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,10.0,,,,10.0,1343.0,,,,,,,05-123-09456
25,2000-11-01,0,SI,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,25.0,,,,25.0,,,,,,,,,,,,,,05-123-09456
26,2000-10-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,21.0,4.0,,,25.0,,,,,,,,,,,,,,05-123-09456
27,2000-09-01,30,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,20.0,1.0,,,21.0,,,,,,,,,,,,,,05-123-09456
28,2000-08-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,73.0,5.0,,-58.0,20.0,,617.0,,,,617.0,1343.0,,,,,,,05-123-09456
29,2000-07-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,73.0,,,,73.0,,672.0,,,,672.0,1343.0,,,,,,,05-123-09456
30,2000-06-01,30,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,69.0,4.0,,,73.0,,750.0,,,,750.0,1343.0,,,,,,,05-123-09456
31,2000-05-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,41.0,28.0,,,69.0,,1075.0,,,,1075.0,1343.0,,,,,,,05-123-09456
32,2000-04-01,30,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,38.0,3.0,,,41.0,,387.0,,,,387.0,1343.0,,,,,,,05-123-09456
33,2000-03-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,38.0,,,,38.0,,402.0,,,,402.0,1343.0,,,,,,,05-123-09456
34,2000-02-01,29,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,38.0,,,,38.0,,359.0,,,,359.0,1343.0,,,,,,,05-123-09456
35,2000-01-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,38.0,,,,38.0,,363.0,,,,363.0,1343.0,,,,,,,05-123-09456
36,1999-12-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,32.0,6.0,,,38.0,,453.0,,,,453.0,1343.0,,,,,,,05-123-09456
37,1999-11-01,30,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,28.0,4.0,,,32.0,,278.0,,,,278.0,1343.0,,,,,,,05-123-09456
38,1999-10-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,28.0,,,,28.0,,319.0,,,,319.0,1343.0,,,,,,,05-123-09456
39,1999-09-01,30,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,89.0,11.0,72.0,,28.0,38.1,529.0,,,,529.0,1343.0,,,,,,,05-123-09456
40,1999-08-01,31,PR,TRINITY ENERGY CORPORATION,123,9456,0,J SAND,82.0,7.0,,,89.0,,693.0,,,,693.0,1343.0,,,,,,,05-123-09456
